x coord, y coord, z coord, scalar
0,2,39,-0.541121
0,2,40,-0.487250
0,2,41,-0.431456
0,2,42,-0.373959
0,2,43,-0.314987
0,2,44,-0.254771
0,2,45,-0.193549
0,2,46,-0.131564
0,2,47,-0.069060
0,2,48,-0.006283
0,2,49,0.056519
0,2,50,0.119097
0,3,0,-0.181206
0,3,1,-0.242599
0,3,2,-0.303035
0,3,3,-0.362275
0,3,4,-0.420086
0,3,5,-0.476238
0,3,6,-0.530511
0,3,7,-0.582690
0,3,8,-0.632570
0,3,9,-0.679953
0,3,10,-0.724653
0,3,11,-0.766493
0,3,12,-0.805308
0,3,13,-0.840945
0,3,14,-0.873262
0,3,15,-0.902134
0,3,16,-0.927445
0,3,17,-0.949096
0,3,18,-0.967001
0,3,19,-0.981091
0,3,20,-0.991308
0,3,21,-0.997613
0,3,22,-0.999980
0,3,23,-0.998402
0,3,24,-0.992883
0,3,25,-0.983445
0,3,26,-0.970127
0,3,27,-0.952979
0,3,28,-0.932071
0,3,29,-0.907484
0,3,30,-0.879316
0,3,31,-0.847678
0,3,32,-0.812694
0,3,33,-0.774503
0,3,34,-0.733255
0,3,35,-0.689114
0,3,36,-0.642253
0,3,37,-0.592857
0,3,38,-0.541121
0,3,39,-0.487250
0,3,40,-0.431456
0,3,41,-0.373959
0,3,42,-0.314987
0,3,43,-0.254771
0,3,44,-0.193549
0,3,45,-0.131564
0,3,46,-0.069060
0,3,47,-0.006283
0,3,48,0.056519
0,3,49,0.119097
0,3,50,0.181206
0,4,0,-0.242599
0,4,1,-0.303035
0,4,2,-0.362275
0,4,3,-0.420086
0,4,4,-0.476238
0,4,5,-0.530511
0,4,6,-0.582690
0,4,7,-0.632570
0,4,8,-0.679953
0,4,9,-0.724653
0,4,10,-0.766493
0,4,11,-0.805308
0,4,12,-0.840945
0,4,13,-0.873262
0,4,14,-0.902134
0,4,15,-0.927445
0,4,16,-0.949096
0,4,17,-0.967001
0,4,18,-0.981091
0,4,19,-0.991308
0,4,20,-0.997613
0,4,21,-0.999980
0,4,22,-0.998402
0,4,23,-0.992883
0,4,24,-0.983445
0,4,25,-0.970127
0,4,26,-0.952979
0,4,27,-0.932071
0,4,28,-0.907484
0,4,29,-0.879316
0,4,30,-0.847678
0,4,31,-0.812694
0,4,32,-0.774503
0,4,33,-0.733255
0,4,34,-0.689114
0,4,35,-0.642253
0,4,36,-0.592857
0,4,37,-0.541121
0,4,38,-0.487250
0,4,39,-0.431456
0,4,40,-0.373959
0,4,41,-0.314987
0,4,42,-0.254771
0,4,43,-0.193549
0,4,44,-0.131564
0,4,45,-0.069060
0,4,46,-0.006283
0,4,47,0.056519
0,4,48,0.119097
0,4,49,0.181206
0,4,50,0.242599
0,5,0,-0.303035
0,5,1,-0.362275
0,5,2,-0.420086
0,5,3,-0.476238
0,5,4,-0.530511
0,5,5,-0.582690
0,5,6,-0.632570
0,5,7,-0.679953
0,5,8,-0.724653
0,5,9,-0.766493
0,5,10,-0.805308
0,5,11,-0.840945
0,5,12,-0.873262
0,5,13,-0.902134
0,5,14,-0.927445
0,5,15,-0.949096
0,5,16,-0.967001
0,5,17,-0.981091
0,5,18,-0.991308
0,5,19,-0.997613
0,5,20,-0.999980
0,5,21,-0.998402
0,5,22,-0.992883
0,5,23,-0.983445
0,5,24,-0.970127
0,5,25,-0.952979
0,5,26,-0.932071
0,5,27,-0.907484
0,5,28,-0.879316
0,5,29,-0.847678
0,5,30,-0.812694
0,5,31,-0.774503
0,5,32,-0.733255
0,5,33,-0.689114
0,5,34,-0.642253
0,5,35,-0.592857
0,5,36,-0.541121
0,5,37,-0.487250
